ID,Name,Team,Position,Availability,Selection,EA_Index,Price
354,Lloyd Isgrove,Southampton,Midfielder,100,0.5,1,4.2
355,Harrison Reed,Southampton,Midfielder,,0.1,63,4.3
356,Dusan Tadic,Southampton,Midfielder,100,3.6,499,7.4
357,Billy Sharp,Southampton,Forward,0,0.0,0,4.5
358,Jay Rodriguez,Southampton,Forward,0,0.1,0,7.3
359,Emmanuel Mayuka,Southampton,Forward,100,0.0,4,4.7
360,Pablo Osvaldo,Southampton,Forward,0,0.0,0,7.0
361,Sam Gallagher,Southampton,Forward,100,0.0,0,4.7
362,Graziano Pellè,Southampton,Forward,100,11.5,548,7.5
363,Brad Friedel,Spurs,Goalkeeper,,0.1,0,4.7
364,Hugo Lloris,Spurs,Goalkeeper,100,8.9,389,5.4
365,Michael Dawson,Hull,Defender,100,1.5,267,4.6
366,Danny Rose,Spurs,Defender,100,6.4,406,4.8
367,Benoit Assou-Ekotto,Spurs,Defender,100,0.2,0,4.4
368,Younes Kaboul,Spurs,Defender,100,1.6,108,4.6
369,Kyle Walker,Spurs,Defender,100,0.6,201,5.8
370,Kyle Naughton,Swansea,Defender,100,0.3,175,4.0
371,Jan Vertonghen,Spurs,Defender,100,1.9,395,5.8
372,Vlad Chiriches,Spurs,Defender,100,0.1,69,4.7
373,Ezekiel Fryers,Crystal Palace,Defender,100,0.0,1,4.2
374,Milos Veljkovic,Spurs,Defender,,0.2,0,3.9
375,Ryan Fredericks,Spurs,Defender,0,0.1,0,4.0
376,Mousa Dembélé,Spurs,Midfielder,100,0.4,202,5.0
377,Sandro Ranieri Guimaraes Cordeiro,QPR,Midfielder,100,0.1,130,4.8
378,Aaron Lennon,Everton,Midfielder,100,0.7,225,6.2
379,Iago Falque,Spurs,Midfielder,0,0.0,0,4.5
380,Tom Carroll,Swansea,Midfielder,100,0.1,96,4.4
381,Gylfi Sigurdsson,Swansea,Midfielder,100,25.0,561,6.5
382,José Paulo Bezerra Maciel Júnior,Spurs,Midfielder,100,1.0,66,6.7
383,Andros Townsend,Spurs,Midfielder,100,0.4,175,6.2
384,Nacer Chadli,Spurs,Midfielder,100,11.1,564,6.2
385,Etienne Capoue,Spurs,Midfielder,100,0.1,118,4.8
386,Erik Lamela,Spurs,Midfielder,100,1.4,427,7.4
387,Christian Eriksen,Spurs,Midfielder,,18.4,641,7.9
388,Nabil Bentaleb,Spurs,Midfielder,100,0.9,309,4.3
389,Harry Winks,Spurs,Midfielder,,0.0,0,4.4
390,Alex Pritchard,Spurs,Midfielder,0,0.0,0,4.5
391,Lewis Holtby,Spurs,Midfielder,0,0.1,6,5.8
392,Emmanuel Adebayor,Spurs,Forward,100,1.8,166,7.9
393,Harry Kane,Spurs,Forward,,44.8,826,6.0
394,Roberto Soldado,Spurs,Forward,100,0.8,111,7.6
395,Asmir Begovic,Stoke,Goalkeeper,100,5.5,352,4.8
396,Thomas Sørensen,Stoke,Goalkeeper,,0.2,0,4.3
397,Andy Wilkinson,Stoke,Defender,100,2.0,0,3.8
398,Ryan Shawcross,Stoke,Defender,100,7.0,340,5.3
399,Robert Huth,Leicester,Defender,100,0.5,132,4.7
400,Marc Wilson,Stoke,Defender,100,1.2,223,4.3
401,Geoff Cameron,Stoke,Defender,100,3.4,260,4.2
402,Erik Pieters,Stoke,Defender,100,0.9,330,4.6
403,Marc Muniesa,Stoke,Defender,100,0.2,188,4.2
404,Phil Bardsley,Stoke,Defender,100,0.5,271,4.9
405,Dionatan do Nascimento Teixeira,Stoke,Defender,100,0.0,1,4.2
406,Ryan Shotton,Stoke,Defender,0,0.2,0,4.0
407,Stephen Ireland,Stoke,Midfielder,100,0.1,149,4.7
408,Charlie Adam,Stoke,Midfielder,100,1.0,308,5.4
409,Glenn Whelan,Stoke,Midfielder,100,0.0,333,4.9
410,Wilson Palacios,Stoke,Midfielder,,0.2,0,4.3
411,Jonathan Walters,Stoke,Midfielder,100,3.1,486,5.1
412,Steven N'Zonzi,Stoke,Midfielder,100,0.5,479,4.9
413,Brek Shea,Stoke,Midfielder,0,0.0,0,4.3
414,Jamie Ness,Stoke,Midfielder,0,0.0,0,4.4
415,Charlie Ward,Stoke,Midfielder,,0.1,0,4.3
416,Steve Sidwell,Stoke,Midfielder,100,1.2,24,5.0
417,Marko Arnautovic,Stoke,Midfielder,100,0.6,288,6.2
418,Peter Odemwingie,Stoke,Midfielder,100,0.3,34,6.1
419,Peter Crouch,Stoke,Forward,100,1.4,269,5.6
420,Cameron Jerome,Stoke,Forward,,0.1,0,5.0
421,Mame Biram Diouf,Stoke,Forward,100,0.6,476,6.1
422,Vito Mannone,Sunderland,Goalkeeper,100,4.4,87,4.1
423,Costel Pantilimon,Sunderland,Goalkeeper,100,4.1,277,4.5
424,John O'Shea,Sunderland,Defender,100,7.5,291,4.6
425,Wes Brown,Sunderland,Defender,100,0.4,210,4.3
426,Modibo Diakité,Sunderland,Defender,0,0.4,0,4.0
427,Valentin Roberge,Sunderland,Defender,0,0.1,2,4.0
428,Billy Jones,Sunderland,Defender,100,0.1,151,4.3
429,Adam Johnson,Sunderland,Midfielder,100,2.4,325,5.9
430,Lee Cattermole,Sunderland,Midfielder,100,2.6,236,4.3
431,Sebastian Larsson,Sunderland,Midfielder,100,4.4,468,5.3
432,Alfred N'Diaye,Sunderland,Midfielder,0,0.0,0,4.5
433,Tavares Varela Adilson Cabral,Sunderland,Midfielder,0,0.0,0,4.3
434,Emanuele Giaccherini,Sunderland,Midfielder,100,0.0,41,5.8
435,El-Hadji Ba,Sunderland,Midfielder,0,0.0,0,4.5
436,Charalampos Mavrias,Sunderland,Midfielder,0,0.0,0,4.3
437,Liam Bridcutt,Sunderland,Midfielder,100,0.3,118,4.2
438,Liam Agnew,Sunderland,Midfielder,,0.1,0,4.3
439,Jordi Gomez Garcia-Penche,Sunderland,Midfielder,100,0.8,328,5.1
440,Connor Wickham,Sunderland,Forward,100,1.1,363,5.6
441,Steven Fletcher,Sunderland,Forward,100,0.4,254,5.0
442,Mikael Mandron,Sunderland,Forward,100,0.1,-4,4.3
443,David Moberg-Karlsson,Sunderland,Forward,0,0.0,0,4.5
444,Jozy Altidore,Sunderland,Forward,0,0.2,31,5.1
445,Ignacio Scocco,Sunderland,Forward,,0.0,0,5.0
446,Danny Graham,Sunderland,Forward,100,0.2,94,4.7
447,Michel Vorm,Spurs,Goalkeeper,100,0.4,46,4.7
448,Lukasz Fabianski,Swansea,Goalkeeper,100,8.2,409,5.3
449,Ashley Williams,Swansea,Defender,100,9.1,447,5.4
450,Neil Taylor,Swansea,Defender,100,4.7,378,4.8
451,Alan Tate,Swansea,Defender,100,0.1,0,3.9
452,Angel Rangel,Swansea,Defender,100,0.5,273,4.9
453, Chico,Swansea,Defender,0,0.0,0,5.0
454,Kyle Bartley,Swansea,Defender,100,1.2,61,3.9
455,Ben Davies,Spurs,Defender,0,0.8,126,4.4
456,Dwight Tiendalli,Swansea,Defender,100,0.0,10,4.3
457,Jordi Amat,Swansea,Defender,0,0.2,80,4.1
458,Ashley Richards,Swansea,Defender,100,0.4,70,4.0
459,Stephen Kingsley,Swansea,Defender,100,0.0,0,4.3
460,Wayne Routledge,Swansea,Midfielder,100,0.9,310,5.4
461,Nathan Dyer,Swansea,Midfielder,100,4.6,318,5.2
462,Leon Britton,Swansea,Midfielder,100,0.1,62,4.4
463,Pablo Hernández,Swansea,Midfielder,0,0.0,0,6.0
464,Alejandro Pozuelo Melero,Swansea,Midfielder,0,0.0,0,4.5
465,Jonjo Shelvey,Swansea,Midfielder,100,3.1,430,5.2
466,Miguel Michu,Swansea,Midfielder,0,0.0,0,7.5
467,José Alberto Cañas Ruiz Herrera,Swansea,Midfielder,0,0.1,0,4.4
468,Lee Lucas,Swansea,Midfielder,100,0.1,0,4.5
469,Jay Fulton,Swansea,Midfielder,100,0.0,18,4.4
470,Adam King,Swansea,Midfielder,,0.1,0,4.3
471,Sung-yueng Ki,Swansea,Midfielder,100,6.2,488,5.1
472,Wilfried Bony,Man City,Forward,100,3.8,448,8.1
473,Rory Donnelly,Swansea,Forward,100,0.0,0,4.4
474,Bafétimbi Gomis,Swansea,Forward,100,0.5,302,6.5
475,Marvin Emnes,Swansea,Forward,100,0.0,72,4.9
476,Boaz Myhill,West Brom,Goalkeeper,100,13.7,111,4.1
477,Ben Foster,West Brom,Goalkeeper,0,3.9,256,4.5
478,Jonas Olsson,West Brom,Defender,100,0.1,95,4.6
479,Gareth McAuley,West Brom,Defender,100,0.3,214,4.7
480,Craig Dawson,West Brom,Defender,100,3.7,330,4.5
481,Liam O'Neil,West Brom,Defender,,0.3,0,3.9
482,Donervon Daniels,West Brom,Defender,0,0.1,0,3.9
483,Joleon Lescott,West Brom,Defender,100,3.7,377,5.1
484,Chris Baird,West Brom,Defender,100,2.6,80,3.8
485,Sébastien Pocognoli,West Brom,Defender,100,0.2,150,4.1
486,Stéphane Sessegnon,West Brom,Midfielder,100,0.3,255,5.4
487,George Thorne,West Brom,Midfielder,0,0.0,0,4.5
488,Graham Dorrans,West Brom,Midfielder,100,0.3,203,4.7
489,Craig Gardner,West Brom,Midfielder,100,0.1,375,5.5
490,James Morrison,West Brom,Midfielder,100,0.1,386,5.5
491,Youssuf Mulumbu,West Brom,Midfielder,100,0.1,81,4.6
492,Chris Brunt,West Brom,Midfielder,100,0.8,389,5.2
493,Claudio Yacob,West Brom,Midfielder,100,0.2,149,4.4
494,Kemar Roofe,West Brom,Midfielder,100,0.0,0,4.4
495,Victor Anichebe,West Brom,Forward,100,0.2,154,4.9
496,Saido Berahino,West Brom,Forward,100,11.4,574,5.6
497,Jussi Jääskeläinen,West Ham,Goalkeeper,,0.6,5,4.2
498,Adrián San Miguel del Castillo,West Ham,Goalkeeper,,2.9,386,5.2
499,James Collins,West Ham,Defender,100,0.3,229,4.4
500,Joey O'Brien,West Ham,Defender,100,0.4,53,4.2
501,Winston Reid,West Ham,Defender,100,0.7,287,4.8
502,Guy Demel,West Ham,Defender,100,0.2,30,4.7
503,Daniel Potts,West Ham,Defender,,0.3,0,3.9
504,James Tomkins,West Ham,Defender,100,0.3,251,4.6
505,Leo Chambers,West Ham,Defender,,0.7,0,3.9
506,Aaron Cresswell,West Ham,Defender,,5.2,510,5.6
507,Stewart Downing,West Ham,Midfielder,100,18.7,615,5.9
508,Mark Noble,West Ham,Midfielder,100,1.3,351,5.3
509,Ravel Morrison,West Ham,Midfielder,100,0.0,4,4.8
510,Kevin Nolan,West Ham,Midfielder,100,1.1,226,6.2
511,Mohamed Diamé,Hull,Midfielder,100,0.8,125,5.1
512,Alou Diarra,West Ham,Midfielder,,0.1,0,4.5
513,Matthew Jarvis,West Ham,Midfielder,100,0.0,34,5.2
514,Cheikhou Kouyaté,West Ham,Midfielder,100,0.5,368,4.9
515,Diego Poyet,West Ham,Midfielder,100,0.4,5,4.3
516,Andy Carroll,West Ham,Forward,0,0.2,178,6.3
517,Ricardo Vaz Te,West Ham,Forward,100,1.5,26,4.1
518,Modibo Maiga,West Ham,Forward,0,0.0,0,4.9
519,Elliot Lee,West Ham,Forward,100,0.2,1,4.3
520,Carlton Cole,West Ham,Forward,100,0.6,106,4.6
521,Mauro Zárate,QPR,Forward,100,0.4,135,6.1
522,Diego Da Silva Costa,Chelsea,Forward,100,28.6,707,10.6
523,Lukas Jutkiewicz,Burnley,Forward,100,0.2,82,4.4
524,Lazar Markovic,Liverpool,Midfielder,100,0.2,150,7.0
525,Rémy Cabella,Newcastle,Midfielder,100,0.9,285,7.0
526,Emmanuel Riviere,Newcastle,Forward,100,0.4,107,6.7
527,Daryl Janmaat,Newcastle,Defender,100,7.5,388,5.3
528,Filipe Luis Kasmirski,Chelsea,Defender,100,2.2,152,5.3
529,Rio Ferdinand,QPR,Defender,100,2.3,87,4.2
530,Enner Valencia,West Ham,Forward,100,0.7,336,6.3
531,Brown Ideye,West Brom,Forward,100,0.1,223,4.8
532,Leonardo Ulloa,Leicester,Forward,100,8.1,446,5.0
533,Bojan Krkic,Stoke,Forward,0,2.5,219,4.9
534,Steven Caulker,QPR,Defender,100,4.8,308,4.6
535,Gerhard Tremmel,Swansea,Goalkeeper,,0.1,6,4.4
536,Fraizer Campbell,Crystal Palace,Forward,100,1.1,149,5.0
537,Jefferson Montero,Swansea,Midfielder,100,0.2,288,5.4
538,Zoumana Bakayogo,Leicester,Defender,100,0.2,0,4.0
539,Alan Hutton,Aston Villa,Defender,100,7.8,312,4.3
540,Kurt Zouma,Chelsea,Defender,100,0.8,137,4.2
541,Patrick van Aanholt,Sunderland,Defender,100,4.6,260,4.1
542,Didier Drogba,Chelsea,Forward,100,1.0,185,5.9
543,David Ospina,Arsenal,Goalkeeper,100,4.0,241,5.0
544,Muhamed Besic,Everton,Midfielder,100,0.3,145,4.5
545,Andrew Robertson,Hull,Defender,100,0.5,170,4.2
546,Harry Maguire,Hull,Defender,100,0.1,16,4.1
547,Brede Hangeland,Crystal Palace,Defender,,0.7,147,4.6
548,Eric Dier,Spurs,Defender,100,11.1,346,4.6
549,Facundo Ferreyra,Newcastle,Forward,100,0.1,0,5.6
550,Javier Manquillo,Liverpool,Defender,,0.3,93,4.4
551,Frank Lampard,Man City,Midfielder,100,1.2,344,5.0
552,Jordon Mutch,Crystal Palace,Midfielder,100,0.6,71,5.0
553,Jason Davidson,West Brom,Defender,100,0.0,7,4.2
554,Cristian Gamboa,West Brom,Defender,100,0.1,30,4.1
555,Bradley Jones,Liverpool,Goalkeeper,100,0.0,13,4.9
556,Saphir Taïder,Southampton,Midfielder,0,0.0,0,5.4
557,Mauricio Isla,QPR,Defender,100,0.3,259,4.6
558,Aly Cissokho,Aston Villa,Defender,100,3.2,200,4.4
559,Bruno Zuculini,Man City,Midfielder,0,0.0,0,5.5
560,Fraser Forster,Southampton,Goalkeeper,0,6.7,308,5.3
561,Santiago Vergini,Sunderland,Defender,100,1.3,297,4.5
562,Eliaquim Mangala,Man City,Defender,100,1.0,312,6.0
563,Rolando Aarons,Newcastle,Midfielder,100,0.1,25,4.7
564,Jerome Binnom-Williams,Crystal Palace,Defender,0,0.0,0,4.4
565,Reece James,Man Utd,Defender,100,0.1,0,4.3
566,Tyler Blackett,Man Utd,Defender,100,0.9,66,3.9
567,Christian Atsu,Everton,Midfielder,100,0.1,17,5.7
568,William Buckley,Sunderland,Midfielder,100,0.0,97,5.0
569,Florin Gardos,Southampton,Defender,100,0.1,86,4.0
570,Diafra Sakho,West Ham,Forward,100,1.7,325,5.2
571,Francis Coquelin,Arsenal,Midfielder,100,0.4,262,4.5
572,Damian Emiliano Martinez,Arsenal,Goalkeeper,,0.1,33,4.5
573,Tom Hopper,Leicester,Forward,100,0.1,0,4.4
574,Ben Amos,Man Utd,Goalkeeper,100,0.0,0,4.5
575,Josh Sheehan,Swansea,Midfielder,100,0.0,0,4.4
576,Reece Burke,West Ham,Defender,,0.2,38,4.0
577,Kelvin Davis,Southampton,Goalkeeper,,1.5,55,4.5
578,Cameron Dummigan,Burnley,Defender,,0.1,0,3.9
579,Alberto Moreno,Liverpool,Defender,100,5.4,290,5.1
580,Stephen Ward,Burnley,Defender,100,0.0,75,4.5
581,Carlos Sánchez,Aston Villa,Midfielder,,0.4,206,4.4
582,Marcos Rojo,Man Utd,Defender,100,0.7,263,5.7
583,Leroy Fer,QPR,Midfielder,100,0.7,338,5.2
584,Federico Fernández,Swansea,Defender,100,0.2,297,4.9
585,Eduardo Vargas,QPR,Forward,100,0.1,234,6.1
586,Georgios Samaras,West Brom,Forward,100,0.0,16,4.7
587,Mario Balotelli,Liverpool,Forward,100,1.2,172,9.2
588,Ángel Di María,Man Utd,Midfielder,100,9.5,416,9.4
589,Samuel Eto'o,Everton,Forward,0,0.6,131,5.2
590,Silvestre Varela,West Brom,Midfielder,0,0.0,52,6.0
591,Federico Fazio,Spurs,Defender,100,0.1,271,4.7
592,Esteban Cambiasso,Leicester,Midfielder,100,2.5,331,4.8
593,Alexandre Song,West Ham,Midfielder,100,0.3,275,4.8
594,Abel Hernández,Hull,Forward,100,0.1,178,6.3
595,Benjamin Stambouli,Spurs,Midfielder,,0.0,58,4.6
596,Ricardo Álvarez,Sunderland,Midfielder,100,0.0,59,5.7
597,Daley Blind,Man Utd,Midfielder,100,1.0,362,4.9
598,James McArthur,Crystal Palace,Midfielder,100,0.0,385,5.2
599,Morgan Amalfitano,West Ham,Midfielder,100,0.1,190,4.9
600,Niko Kranjcar,QPR,Midfielder,100,0.1,134,4.3
601,Toby Alderweireld,Southampton,Defender,100,2.4,345,4.7
602,Kevin Doyle,Crystal Palace,Forward,,0.0,3,4.6
603,Radamel Falcao Garcia,Man Utd,Forward,100,1.8,292,10.3
604,Sadio Mané,Southampton,Midfielder,100,2.5,514,6.3
605,Sebastián Blanco,West Brom,Midfielder,,0.0,0,5.2
606,Nathaniel Chalobah,Chelsea,Midfielder,0,0.0,-2,4.3
607,Alex McCarthy,QPR,Goalkeeper,100,0.6,27,4.0
608,Sam McQueen,Southampton,Midfielder,,0.0,0,4.5
609,Adam Smith,Leicester,Goalkeeper,,0.1,0,4.0
610,Luke Daniels,West Brom,Goalkeeper,0,0.1,0,4.0
611,Andreas Pereira,Man Utd,Midfielder,100,0.0,2,5.0
612,Andrew Johnson,Crystal Palace,Forward,0,0.0,0,4.5
613,Ryan Mason,Spurs,Midfielder,100,0.2,367,4.5
614,Jose Pozo,Man City,Forward,100,0.0,34,4.7
615,Jason McCarthy,Southampton,Defender,,0.1,1,4.0
616,Patrick McNair,Man Utd,Defender,100,0.2,144,4.4
617,Tom Thorpe,Man Utd,Defender,,0.0,0,4.0
618,Eldin Jakupovic,Hull,Goalkeeper,,2.7,19,4.0
619,Steven Hewitt,Burnley,Midfielder,100,0.0,0,4.5
620,Liam Shephard,Swansea,Defender,,0.0,0,4.0
621,Semi Ajayi,Arsenal,Defender,100,0.0,0,4.0
622,Dominic Solanke,Chelsea,Forward,,0.0,0,5.0
623,Rory Watson,Hull,Goalkeeper,100,0.1,0,4.0
624,Anthony Réveillere,Sunderland,Defender,100,0.1,126,4.5
625,Marnick Vermijl,Man Utd,Defender,,0.0,0,4.0
626,Thomas Robson,Sunderland,Defender,,0.0,0,4.0
627,Modou Barrow,Swansea,Forward,100,0.0,56,4.4
628,Sebastian Lletget,West Ham,Midfielder,,0.0,0,4.5
629,Remie Streete,Newcastle,Defender,0,0.0,0,4.0
630,Cristian Ceballos,Spurs,Midfielder,,0.0,0,5.0
631,Dominic Ball,Spurs,Defender,,0.0,0,4.0
632,Jack Butland,Stoke,Goalkeeper,,0.1,33,4.5
633,Ryan Huddart,Arsenal,Goalkeeper,,0.0,0,4.0
634,Oliver Shenton,Stoke,Midfielder,,0.0,0,4.4
635,Matthew Macey,Arsenal,Goalkeeper,,0.0,0,4.0
636,Jak Alnwick,Newcastle,Goalkeeper,100,0.7,42,3.9
637,Chris Herd,Aston Villa,Defender,0,0.0,0,4.0
638,Will Keane,Man Utd,Forward,0,0.0,0,4.5
639,Jose Angel Esmoris Tasende,Man City,Defender,,0.0,0,4.5
640,Ainsley Maitland-Niles,Arsenal,Midfielder,,0.0,0,4.4
641,Jake Hesketh,Southampton,Midfielder,100,0.0,4,4.9
642,Haris Vuckic,Newcastle,Midfielder,0,0.0,1,4.4
643,Freddie Woodman,Newcastle,Goalkeeper,,0.0,0,4.0
644,Mark Schwarzer,Leicester,Goalkeeper,,0.1,44,4.5
645,David Cornell,Swansea,Goalkeeper,100,0.1,0,4.0
646,Riccardo Calder,Aston Villa,Midfielder,,0.0,0,4.5
647,Thierry Ambrose,Man City,Forward,,0.0,0,4.5
648,Dominic Gape,Southampton,Midfielder,,0.0,0,4.5
649,Ryan Seager,Southampton,Forward,,0.0,0,4.5
650,Oluwaseyi Ojo,Liverpool,Midfielder,,0.0,0,5.0
651,Russell Griffiths,Everton,Goalkeeper,,0.1,0,4.0
652,Danny Ward,Liverpool,Goalkeeper,100,0.1,0,4.0
653,Adil Nabi,West Brom,Forward,,0.0,0,4.5
654,Víctor Valdés,Man Utd,Goalkeeper,100,0.1,16,4.9
655,Eljero Elia,Southampton,Midfielder,100,0.7,121,4.3
656,Philipp Wollscheid,Stoke,Defender,100,0.3,97,4.2
657,Matt Grimes,Swansea,Midfielder,,0.0,6,4.9
658,Nélson Miguel Castro Oliveira,Swansea,Forward,100,0.0,59,5.5
659,Doneil Henry,West Ham,Defender,100,0.0,0,3.9
660,DeAndre Yedlin,Spurs,Defender,,0.0,0,4.3
661,Carles Gil de Pareja Vicent,Aston Villa,Midfielder,100,0.1,34,4.2
662,Jermain Defoe,Sunderland,Forward,100,2.5,226,4.8
663,Andrej Kramaric,Leicester,Forward,,0.1,99,5.0
664,Jordan Williams,Liverpool,Defender,100,0.0,0,4.0
665,Gabriel Armando de Abreu,Arsenal,Defender,100,0.0,73,5.1
666,Krystian Bielik,Arsenal,Midfielder,,0.0,0,4.4
667,Callum McManaman,West Brom,Midfielder,100,0.0,53,4.4
668,Shola Ameobi,Crystal Palace,Forward,100,0.0,0,4.5
669,Andreas Christensen,Chelsea,Defender,,0.0,2,4.5
670,Ruben Loftus-Cheek,Chelsea,Midfielder,,0.0,11,5.0
671,Reece Oxford,West Ham,Defender,,0.0,0,4.0
672,Jack Rose,West Brom,Goalkeeper,,0.2,0,4.0
673,Juan Cuadrado,Chelsea,Midfielder,,0.1,59,7.2
674,Filip Djuricic,Southampton,Midfielder,100,0.0,33,5.7
675,Chung-yong Lee,Crystal Palace,Midfielder,100,0.0,6,5.0
676,Dame N'Doye,Hull,Forward,100,0.4,222,5.5
677,Jake Flannigan,Southampton,Midfielder,,0.0,0,4.5
678,Michael Doughty,QPR,Midfielder,100,0.0,5,4.5
679,Pape Souaré,Crystal Palace,Defender,100,0.0,77,4.3
680,Darnell Furlong,QPR,Defender,100,0.0,22,3.9
681,Anderson Luis de Carvalho,West Ham,Midfielder,,0.0,8,5.3
682,Duncan Watmore,Sunderland,Forward,,0.0,0,4.5
683,Jake Gray,Crystal Palace,Midfielder,,0.0,0,4.5
684,Reece Grego-Cox,QPR,Midfielder,,0.0,10,4.3
685,Brandon Comley,QPR,Midfielder,,0.0,1,4.4
686,Emmanuel Onariase,West Ham,Defender,,0.0,0,4.0
687,Josh Cullen,West Ham,Midfielder,,0.0,0,4.5
688,Lewis Kinsella,Aston Villa,Defender,100,0.0,0,4.0
689,Rushian Hepburn-Murphy,Aston Villa,Forward,,0.0,1,4.4
690,Olivier Kemen,Newcastle,Midfielder,,0.0,0,4.5
691,Cameron Brannagan,Liverpool,Midfielder,,0.0,0,4.5
692,Frankie Sutherland,QPR,Midfielder,,0.0,0,4.5
693,Fredrik Ulvestad,Burnley,Midfielder,,0.0,10,4.5
694,Aaron Mitchell,QPR,Midfielder,,0.0,0,4.5
695,Jamie Sterry,Newcastle,Defender,,0.0,0,4.0
696,George Honeyman,Sunderland,Midfielder,,0.0,0,4.5
697,Raheem Hanley,Swansea,Defender,,0.0,0,4.0
698,Mitchell Beeney,Chelsea,Goalkeeper,,0.0,0,4.0
699,Jerome Sinclair,Liverpool,Forward,,0.0,2,4.5
700,Brendan Galloway,Everton,Defender,,0.0,22,4.0
701,Jamal Blackman,Chelsea,Goalkeeper,,0.0,0,4.0
702,Tyler Roberts,West Brom,Forward,,0.0,0,4.5
703,Alex Palmer,West Brom,Goalkeeper,,0.0,0,4.0
704,Jed Steer,Aston Villa,Goalkeeper,,0.0,4,4.0
705,Andre Green,Aston Villa,Forward,,0.0,0,4.5
706,Jeremie Boga,Chelsea,Midfielder,,0.0,0,4.5
707,Jordan Pickford,Sunderland,Goalkeeper,,0.0,0,4.0
708,Kenji Gorre,Swansea,Midfielder,,0.0,1,4.5
709,Joshua Onomah,Spurs,Midfielder,,0.0,0,4.5
710,Cole Kpekawa,QPR,Defender,,0.0,0,4.0
711,Michael Petrasso,QPR,Midfielder,,0.0,0,4.5
